店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
個室×全250種のドリンク イタリアンバル NACHO 大宮駅前店,050-5492-4805,,埼玉県,さいたま市,大宮区大門町1-6,2F,https://ghju500.gorp.jp/,TRUE
メインダイニング カバーナ,050-5484-7220,,福岡県,福岡市,中央区輝国1-1-33,アゴーラ福岡山の上ホテル＆スパ5F,https://f643603.gorp.jp/,TRUE
Le Lien ‐ルリアン‐,050-5492-4768,,宮城県,仙台市,青葉区国分町2-2-23,レモンシャトービル2F,https://ta27601.gorp.jp/,TRUE
ハミングバード 本町店,050-5488-9570,,宮城県,仙台市,青葉区本町2-6-16,,https://t041702.gorp.jp/,TRUE
PIZZA LABO Regina（レジーナ）,050-5487-3028,,宮城県,仙台市,青葉区国分町2-1-1,1F,https://party-wedding.gnavi.co.jp/site/2/ta1s800/,TRUE
お肉と生フルーツカクテル HILLS 四日市本店,050-5485-0859,,三重県,四日市,市諏訪栄町7-30,7番街ビル4F,https://nc5c100.gorp.jp/,TRUE
Volare,050-5484-7428,,大阪府,吹田市,江の木町14-9,,https://kcax200.gorp.jp/,TRUE
Blanche Aimer,050-5487-8945,,岐阜県,可児市,土田2546-148,,https://nbs6800.gorp.jp/,TRUE
Garden×オリーヴ,050-5488-3184,,鹿児島県,薩摩川内市,西向田町4-7,,https://fa31901.gorp.jp/,TRUE
フレンチ ラ・カルティリヨン 海浜幕張,050-5484-7946,,千葉県,千葉市,美浜区ひび野1-9,スーク海浜幕張グランサウスオーシャンズ,,
Sandy TERRACE 上野,050-5485-3925,,東京都,文京区,湯島3-36-10,永山ビル2F,https://chefgohan.gnavi.co.jp/cookingclass/detail/gddv600/gddv600.html,TRUE
ナポリピッツア＆ワインのお店 トン・ガリアーノ仙台駅前店,050-5494-1555,,宮城県,仙台市,青葉区花京院1-2-15,ソララプラザビル1F,https://ta4k200.gorp.jp/,TRUE
お魚イタリアン nonna é ～ノンナ～,050-5489-2132,,宮城県,仙台市,青葉区本町1-6-25,ライオンズマンション本町第2 104,https://ta3z400.gorp.jp/,TRUE
イタリア料理 ナチュール,050-5485-7907,,埼玉県,所沢市,上山口104-4,,https://geph000.gorp.jp/,TRUE
ワインと炭火焼き 松本式,050-5486-5880,,埼玉県,さいたま市,大宮区下町1-29,藤沼ビル2F,https://gj3d200.gorp.jp/,TRUE
ル・ジャンティオム,050-5487-8100,,北海道,札幌市,中央区南4条西8,サンプラーザ札幌1F,https://secretary.gnavi.co.jp/shop/h363600/,TRUE
フレンチ ラパンアジル,050-5486-0579,,静岡県,沼津市,高島町1-12,ココチホテル沼津2F,https://nbau900.gorp.jp/,TRUE
ビストロ・フレンチ L’oiseau Bleu（ルワゾーブル）,055-955-9995,,静岡県,三島市,広小路町8-19,,https://nbzk600.gorp.jp/,TRUE
トラットリア ダ ルイジ 東新宿店,050-5486-3449,,東京都,新宿区,新宿6-27-30,新宿イーストサイドスクエア B1,https://luiji-higashishinjuku.gorp.jp/,TRUE
イタリアン レストラン めぐる,050-5494-6123,,静岡県,沼津市,添地町72,青秀ビル2F,https://nbsg900.gorp.jp/,TRUE
肉×チーズ×フルーツカクテル garden cafe M,050-5484-6313,,福島県,福島市,栄町11-25,AXC福島2F,https://gardencafem.gorp.jp/,TRUE
個室 イタリアン バルCiccio チッチョ 本八幡店,050-5493-7631,,千葉県,市川市,八幡2-15-16,川上ビル3F,https://ghw3400.gorp.jp/,TRUE
Le Lien ‐ルリアン‐,050-5492-4768,,宮城県,仙台市,青葉区国分町2-2-23,レモンシャトービル2F,https://ta27601.gorp.jp/,TRUE
ハミングバード 本町店,050-5488-9570,,宮城県,仙台市,青葉区本町2-6-16,,https://t041702.gorp.jp/,TRUE
PIZZA LABO Regina（レジーナ）,050-5487-3028,,宮城県,仙台市,青葉区国分町2-1-1,1F,https://party-wedding.gnavi.co.jp/site/2/ta1s800/,TRUE
個室完備 海鮮居酒屋 北海道魚鮮水産 BiViつくば店,050-5484-8452,,茨城県,つくば市,吾妻1-8-10,BiViつくば3F,https://g213946.gorp.jp/,TRUE
Volare,050-5484-7428,,大阪府,吹田市,江の木町14-9,,https://kcax200.gorp.jp/,TRUE
Blanche Aimer,050-5487-8945,,岐阜県,可児市,土田2546-148,,https://nbs6800.gorp.jp/,TRUE
Garden×オリーヴ,050-5488-3184,,鹿児島県,薩摩川内市,西向田町4-7,,https://fa31901.gorp.jp/,TRUE
フレンチ ラ・カルティリヨン 海浜幕張,050-5484-7946,,千葉県,千葉市,美浜区ひび野1-9,スーク海浜幕張グランサウスオーシャンズ,,
Sandy TERRACE 上野,050-5485-3925,,東京都,文京区,湯島3-36-10,永山ビル2F,https://chefgohan.gnavi.co.jp/cookingclass/detail/gddv600/gddv600.html,TRUE
ナポリピッツア＆ワインのお店 トン・ガリアーノ仙台駅前店,050-5494-1555,,宮城県,仙台市,青葉区花京院1-2-15,ソララプラザビル1F,https://ta4k200.gorp.jp/,TRUE
お魚イタリアン nonna é ～ノンナ～,050-5489-2132,,宮城県,仙台市,青葉区本町1-6-25,ライオンズマンション本町第2 104,https://ta3z400.gorp.jp/,TRUE
イタリア料理 ナチュール,050-5485-7907,,埼玉県,所沢市,上山口104-4,,https://geph000.gorp.jp/,TRUE
ワインと炭火焼き 松本式,050-5486-5880,,埼玉県,さいたま市,大宮区下町1-29,藤沼ビル2F,https://gj3d200.gorp.jp/,TRUE
ル・ジャンティオム,050-5487-8100,,北海道,札幌市,中央区南4条西8,サンプラーザ札幌1F,https://secretary.gnavi.co.jp/shop/h363600/,TRUE
フレンチ ラパンアジル,050-5486-0579,,静岡県,沼津市,高島町1-12,ココチホテル沼津2F,https://nbau900.gorp.jp/,TRUE
ビストロ・フレンチ L’oiseau Bleu（ルワゾーブル）,055-955-9995,,静岡県,三島市,広小路町8-19,,https://nbzk600.gorp.jp/,TRUE
トラットリア ダ ルイジ 東新宿店,050-5486-3449,,東京都,新宿区,新宿6-27-30,新宿イーストサイドスクエア B1,https://luiji-higashishinjuku.gorp.jp/,TRUE
イタリアン レストラン めぐる,050-5494-6123,,静岡県,沼津市,添地町72,青秀ビル2F,https://nbsg900.gorp.jp/,TRUE
GARB DRESSING 京橋,050-5484-8645,,大阪府,大阪市,都島区東野田町1-2-1,,https://party-wedding.gnavi.co.jp/site/2/c154500/,TRUE
シュラスコ食べ放題＆フランベステーキ 肉バル Fire＆Ice 新宿,050-5492-8641,,東京都,新宿区,歌舞伎町1-23-13,下村ビル4F,https://gfrk507.gorp.jp/,TRUE
Le Lien ‐ルリアン‐,050-5492-4768,,宮城県,仙台市,青葉区国分町2-2-23,レモンシャトービル2F,https://ta27601.gorp.jp/,TRUE
ハミングバード 本町店,050-5488-9570,,宮城県,仙台市,青葉区本町2-6-16,,https://t041702.gorp.jp/,TRUE
PIZZA LABO Regina（レジーナ）,050-5487-3028,,宮城県,仙台市,青葉区国分町2-1-1,1F,https://party-wedding.gnavi.co.jp/site/2/ta1s800/,TRUE
チーズとお肉の個室バル くれいじーグリル 福岡天神店,092-231-2456,,福岡県,福岡市,中央区春吉3-24-28,セシル晴好1F,https://fbp7200.gorp.jp/,TRUE
Volare,050-5484-7428,,大阪府,吹田市,江の木町14-9,,https://kcax200.gorp.jp/,TRUE
Blanche Aimer,050-5487-8945,,岐阜県,可児市,土田2546-148,,https://nbs6800.gorp.jp/,TRUE
Garden×オリーヴ,050-5488-3184,,鹿児島県,薩摩川内市,西向田町4-7,,https://fa31901.gorp.jp/,TRUE
フレンチ ラ・カルティリヨン 海浜幕張,050-5484-7946,,千葉県,千葉市,美浜区ひび野1-9,スーク海浜幕張グランサウスオーシャンズ,,
